Wavelength_nm 1 2 3 4 5 6
450.0 -0.0034 0.0414 0.0331 0.0202 0.0060 -0.0062
450.5 -0.0032 0.0417 0.0332 0.0198 0.0056 -0.0063
451.0 -0.0031 0.0421 0.0333 0.0201 0.0056 -0.0062
451.5 -0.0035 0.0422 0.0334 0.0201 0.0058 -0.0064
452.0 -0.0034 0.0422 0.0337 0.0202 0.0056 -0.0064
452.5 -0.0032 0.0425 0.0340 0.0202 0.0060 -0.0061
453.0 -0.0033 0.0427 0.0340 0.0203 0.0057 -0.0064
453.5 -0.0029 0.0429 0.0340 0.0203 0.0059 -0.0062
454.0 -0.0034 0.0428 0.0340 0.0201 0.0057 -0.0064
454.5 -0.0034 0.0431 0.0342 0.0206 0.0056 -0.0062
455.0 -0.0032 0.0433 0.0344 0.0205 0.0058 -0.0061
455.5 -0.0032 0.0436 0.0346 0.0205 0.0057 -0.0060
456.0 -0.0032 0.0436 0.0348 0.0206 0.0057 -0.0064
456.5 -0.0030 0.0438 0.0349 0.0206 0.0056 -0.0064
457.0 -0.0032 0.0439 0.0350 0.0204 0.0056 -0.0062
457.5 -0.0034 0.0441 0.0351 0.0206 0.0056 -0.0066
458.0 -0.0036 0.0445 0.0353 0.0208 0.0056 -0.0063
458.5 -0.0033 0.0443 0.0350 0.0208 0.0055 -0.0064
459.0 -0.0031 0.0449 0.0355 0.0211 0.0056 -0.0062
459.5 -0.0032 0.0448 0.0359 0.0208 0.0055 -0.0064
460.0 -0.0034 0.0452 0.0359 0.0209 0.0055 -0.0064
460.5 -0.0032 0.0454 0.0361 0.0212 0.0055 -0.0063
461.0 -0.0031 0.0457 0.0362 0.0211 0.0056 -0.0063
461.5 -0.0033 0.0458 0.0364 0.0213 0.0056 -0.0062
462.0 -0.0032 0.0461 0.0370 0.0212 0.0056 -0.0062
462.5 -0.0032 0.0461 0.0369 0.0214 0.0056 -0.0063
463.0 -0.0032 0.0466 0.0371 0.0214 0.0055 -0.0062
463.5 -0.0034 0.0466 0.0370 0.0212 0.0053 -0.0066
464.0 -0.0032 0.0467 0.0374 0.0214 0.0053 -0.0067
464.5 -0.0034 0.0471 0.0376 0.0216 0.0055 -0.0065
465.0 -0.0031 0.0474 0.0381 0.0217 0.0054 -0.0061
465.5 -0.0032 0.0477 0.0382 0.0219 0.0055 -0.0064
466.0 -0.0032 0.0478 0.0384 0.0218 0.0055 -0.0063
466.5 -0.0033 0.0482 0.0383 0.0220 0.0055 -0.0065
467.0 -0.0033 0.0483 0.0385 0.0219 0.0055 -0.0064
467.5 -0.0031 0.0485 0.0387 0.0222 0.0054 -0.0063
468.0 -0.0032 0.0487 0.0391 0.0221 0.0055 -0.0064
468.5 -0.0032 0.0487 0.0389 0.0221 0.0053 -0.0066
469.0 -0.0031 0.0495 0.0394 0.0224 0.0055 -0.0062
469.5 -0.0032 0.0495 0.0393 0.0224 0.0054 -0.0065
470.0 -0.0032 0.0496 0.0397 0.0223 0.0056 -0.0063
470.5 -0.0033 0.0497 0.0395 0.0224 0.0052 -0.0064
471.0 -0.0033 0.0498 0.0398 0.0223 0.0049 -0.0064
471.5 -0.0031 0.0502 0.0400 0.0227 0.0052 -0.0064
472.0 -0.0030 0.0501 0.0401 0.0224 0.0052 -0.0064
472.5 -0.0031 0.0504 0.0401 0.0224 0.0052 -0.0063
473.0 -0.0026 0.0507 0.0404 0.0226 0.0051 -0.0060
473.5 -0.0029 0.0509 0.0406 0.0228 0.0053 -0.0064
474.0 -0.0029 0.0509 0.0407 0.0227 0.0053 -0.0063
474.5 -0.0032 0.0512 0.0407 0.0227 0.0052 -0.0060
475.0 -0.0029 0.0511 0.0409 0.0227 0.0054 -0.0061
475.5 -0.0031 0.0513 0.0407 0.0229 0.0053 -0.0064
476.0 -0.0030 0.0513 0.0409 0.0229 0.0051 -0.0063
476.5 -0.0027 0.0514 0.0412 0.0231 0.0053 -0.0063
477.0 -0.0029 0.0516 0.0412 0.0228 0.0052 -0.0063
477.5 -0.0031 0.0513 0.0409 0.0227 0.0049 -0.0066
478.0 -0.0029 0.0518 0.0410 0.0228 0.0050 -0.0063
478.5 -0.0032 0.0517 0.0412 0.0227 0.0051 -0.0065
479.0 -0.0029 0.0519 0.0415 0.0228 0.0051 -0.0064
479.5 -0.0030 0.0518 0.0412 0.0228 0.0049 -0.0064
480.0 -0.0030 0.0519 0.0413 0.0227 0.0049 -0.0066
480.5 -0.0031 0.0519 0.0415 0.0229 0.0051 -0.0064
481.0 -0.0030 0.0521 0.0413 0.0230 0.0050 -0.0063
481.5 -0.0032 0.0520 0.0415 0.0228 0.0049 -0.0063
482.0 -0.0031 0.0520 0.0414 0.0226 0.0046 -0.0063
482.5 -0.0030 0.0519 0.0417 0.0229 0.0047 -0.0064
483.0 -0.0028 0.0521 0.0415 0.0229 0.0047 -0.0062
483.5 -0.0029 0.0522 0.0416 0.0228 0.0047 -0.0066
484.0 -0.0030 0.0521 0.0415 0.0227 0.0048 -0.0066
484.5 -0.0027 0.0522 0.0416 0.0228 0.0048 -0.0062
485.0 -0.0031 0.0520 0.0414 0.0227 0.0046 -0.0063
485.5 -0.0031 0.0520 0.0413 0.0227 0.0044 -0.0065
486.0 -0.0029 0.0524 0.0417 0.0228 0.0047 -0.0065
486.5 -0.0026 0.0525 0.0416 0.0230 0.0048 -0.0062
487.0 -0.0026 0.0525 0.0418 0.0229 0.0047 -0.0062
487.5 -0.0030 0.0527 0.0418 0.0230 0.0045 -0.0063
488.0 -0.0028 0.0526 0.0419 0.0230 0.0045 -0.0065
488.5 -0.0031 0.0524 0.0416 0.0227 0.0046 -0.0064
489.0 -0.0028 0.0525 0.0418 0.0228 0.0045 -0.0063
489.5 -0.0026 0.0528 0.0418 0.0230 0.0045 -0.0063
490.0 -0.0027 0.0528 0.0422 0.0230 0.0047 -0.0064
490.5 -0.0025 0.0528 0.0422 0.0232 0.0049 -0.0061
491.0 -0.0030 0.0527 0.0419 0.0226 0.0043 -0.0064
491.5 -0.0031 0.0529 0.0418 0.0226 0.0043 -0.0065
492.0 -0.0028 0.0529 0.0420 0.0227 0.0046 -0.0063
492.5 -0.0028 0.0529 0.0420 0.0229 0.0046 -0.0063
493.0 -0.0027 0.0528 0.0421 0.0226 0.0044 -0.0064
493.5 -0.0030 0.0531 0.0422 0.0227 0.0044 -0.0065
494.0 -0.0029 0.0530 0.0423 0.0225 0.0044 -0.0063
494.5 -0.0030 0.0534 0.0423 0.0228 0.0041 -0.0065
495.0 -0.0030 0.0533 0.0423 0.0230 0.0045 -0.0065
495.5 -0.0029 0.0534 0.0423 0.0227 0.0045 -0.0064
496.0 -0.0027 0.0538 0.0428 0.0231 0.0044 -0.0061
496.5 -0.0026 0.0538 0.0427 0.0229 0.0047 -0.0064
497.0 -0.0028 0.0539 0.0427 0.0229 0.0045 -0.0064
497.5 -0.0026 0.0540 0.0429 0.0230 0.0045 -0.0065
498.0 -0.0028 0.0542 0.0431 0.0232 0.0045 -0.0064
498.5 -0.0026 0.0542 0.0430 0.0232 0.0045 -0.0064
499.0 -0.0026 0.0546 0.0433 0.0234 0.0045 -0.0062
499.5 -0.0025 0.0548 0.0433 0.0232 0.0045 -0.0059
500.0 -0.0025 0.0549 0.0434 0.0231 0.0046 -0.0062
500.5 -0.0028 0.0549 0.0435 0.0231 0.0042 -0.0062
501.0 -0.0028 0.0548 0.0437 0.0232 0.0042 -0.0064
501.5 -0.0024 0.0551 0.0439 0.0235 0.0048 -0.0060
502.0 -0.0026 0.0552 0.0438 0.0236 0.0044 -0.0063
502.5 -0.0027 0.0553 0.0438 0.0232 0.0044 -0.0064
503.0 -0.0026 0.0555 0.0442 0.0235 0.0043 -0.0062
503.5 -0.0027 0.0556 0.0442 0.0234 0.0045 -0.0062
504.0 -0.0025 0.0560 0.0443 0.0237 0.0045 -0.0061
504.5 -0.0029 0.0559 0.0444 0.0235 0.0042 -0.0063
505.0 -0.0027 0.0559 0.0443 0.0236 0.0043 -0.0065
505.5 -0.0027 0.0562 0.0446 0.0236 0.0043 -0.0064
506.0 -0.0027 0.0562 0.0446 0.0235 0.0041 -0.0062
506.5 -0.0025 0.0567 0.0448 0.0239 0.0045 -0.0060
507.0 -0.0026 0.0566 0.0445 0.0236 0.0044 -0.0062
507.5 -0.0027 0.0566 0.0446 0.0236 0.0043 -0.0063
508.0 -0.0025 0.0567 0.0449 0.0234 0.0045 -0.0064
508.5 -0.0024 0.0567 0.0451 0.0237 0.0044 -0.0062
509.0 -0.0026 0.0569 0.0448 0.0238 0.0045 -0.0063
509.5 -0.0024 0.0570 0.0452 0.0235 0.0045 -0.0061
510.0 -0.0026 0.0568 0.0450 0.0236 0.0045 -0.0062
510.5 -0.0026 0.0568 0.0449 0.0236 0.0041 -0.0064
511.0 -0.0026 0.0567 0.0450 0.0238 0.0041 -0.0062
511.5 -0.0023 0.0570 0.0452 0.0238 0.0045 -0.0061
512.0 -0.0025 0.0566 0.0450 0.0238 0.0043 -0.0062
512.5 -0.0021 0.0567 0.0452 0.0240 0.0044 -0.0061
513.0 -0.0022 0.0567 0.0449 0.0237 0.0043 -0.0060
513.5 -0.0024 0.0563 0.0446 0.0235 0.0043 -0.0063
514.0 -0.0023 0.0565 0.0447 0.0236 0.0043 -0.0061
514.5 -0.0026 0.0562 0.0443 0.0236 0.0040 -0.0061
515.0 -0.0025 0.0562 0.0445 0.0233 0.0039 -0.0063
515.5 -0.0023 0.0560 0.0444 0.0235 0.0042 -0.0064
516.0 -0.0027 0.0555 0.0440 0.0230 0.0038 -0.0064
516.5 -0.0024 0.0555 0.0439 0.0231 0.0038 -0.0063
517.0 -0.0026 0.0554 0.0436 0.0229 0.0040 -0.0064
517.5 -0.0027 0.0550 0.0433 0.0226 0.0039 -0.0064
518.0 -0.0024 0.0550 0.0432 0.0227 0.0040 -0.0061
